Iteration,Intercept,Wave_366,Wave_376,Wave_385,Wave_395,Wave_405,Wave_414,Wave_424,Wave_434,Wave_443,Wave_453,Wave_463,Wave_472,Wave_482,Wave_492,Wave_502,Wave_511,Wave_521,Wave_531,Wave_541,Wave_550,Wave_560,Wave_570,Wave_580,Wave_589,Wave_599,Wave_609,Wave_619,Wave_628,Wave_638,Wave_648,Wave_655,Wave_658,Wave_665,Wave_668,Wave_675,Wave_685,Wave_694,Wave_704,Wave_714,Wave_724,Wave_734,Wave_743,Wave_753,Wave_763,Wave_773,Wave_782,Wave_792,Wave_802,Wave_812,Wave_821,Wave_831,Wave_841,Wave_850,Wave_860,Wave_870,Wave_880,Wave_889,Wave_899,Wave_909,Wave_918,Wave_928,Wave_938,Wave_947,Wave_957,Wave_967,Wave_976,Wave_986,Wave_995,Wave_1005,Wave_1015,Wave_1024,Wave_1034,Wave_1044,Wave_1053,Wave_1063,Wave_1072,Wave_1082,Wave_1091,Wave_1101,Wave_1111,Wave_1120,Wave_1130,Wave_1139,Wave_1149,Wave_1158,Wave_1168,Wave_1177,Wave_1187,Wave_1196,Wave_1206,Wave_1215,Wave_1225,Wave_1235,Wave_1244,Wave_1253,Wave_1254,Wave_1263,Wave_1264,Wave_1273,Wave_1283,Wave_1293,Wave_1303,Wave_1313,Wave_1323,Wave_1333,Wave_1343,Wave_1353,Wave_1363,Wave_1373,Wave_1383,Wave_1393,Wave_1403,Wave_1413,Wave_1423,Wave_1433,Wave_1443,Wave_1453,Wave_1463,Wave_1473,Wave_1483,Wave_1493,Wave_1503,Wave_1513,Wave_1523,Wave_1533,Wave_1542,Wave_1552,Wave_1562,Wave_1572,Wave_1582,Wave_1592,Wave_1602,Wave_1612,Wave_1622,Wave_1632,Wave_1642,Wave_1652,Wave_1662,Wave_1672,Wave_1682,Wave_1692,Wave_1702,Wave_1712,Wave_1722,Wave_1732,Wave_1742,Wave_1752,Wave_1762,Wave_1772,Wave_1782,Wave_1792,Wave_1802,Wave_1811,Wave_1821,Wave_1831,Wave_1841,Wave_1851,Wave_1861,Wave_1868,Wave_1871,Wave_1873,Wave_1878,Wave_1888,Wave_1898,Wave_1908,Wave_1918,Wave_1928,Wave_1938,Wave_1948,Wave_1958,Wave_1968,Wave_1978,Wave_1988,Wave_1998,Wave_2008,Wave_2018,Wave_2028,Wave_2038,Wave_2048,Wave_2058,Wave_2068,Wave_2078,Wave_2088,Wave_2099,Wave_2109,Wave_2119,Wave_2129,Wave_2139,Wave_2149,Wave_2159,Wave_2169,Wave_2178,Wave_2188,Wave_2198,Wave_2208,Wave_2218,Wave_2228,Wave_2238,Wave_2248,Wave_2258,Wave_2268,Wave_2278,Wave_2288,Wave_2298,Wave_2308,Wave_2318,Wave_2328,Wave_2338,Wave_2348,Wave_2358,Wave_2368,Wave_2378,Wave_2388,Wave_2398,Wave_2408,Wave_2418,Wave_2428,Wave_2437,Wave_2447,Wave_2457,Wave_2467,Wave_2477,Wave_2487,Wave_2497
1,48.86541764,0,0,0,0,0,0.001216558,-0.000312674,0.000367904,0.000137703,0.000105993,0.000223048,-0.000461282,-0.000420509,-5.44E-05,0.000655177,0.000662692,0.000954945,-0.00012206,-0.001074707,-0.001152638,-0.001541041,-0.001609824,-0.001110201,-0.001003976,-0.000851677,-0.00080642,-0.000425685,-6.21E-05,-2.66E-05,0.00055027,4.38E-05,0.000894851,0.00045902,0.000746408,0.000456463,0.000548604,0.000853983,-0.000928944,-0.002630887,0.000695871,0.00382258,0.002108849,0.001817073,-0.000553616,0.00036143,-0.000504317,0.000204841,0.0004175,0.000412229,-0.00015639,-0.000620886,-0.000582117,-0.000825097,-0.001433455,-0.001546648,-0.000883316,0.000222233,0.000421854,-0.000406506,0.000783545,0.000471352,-0.002419507,-0.000517913,-0.001100457,-0.000728238,-0.000495002,-0.000768539,-0.001723745,-0.001407128,-0.001018484,-0.000866983,0.000229713,-0.000145743,0.000366722,0.001567229,0.002806221,0.002326741,0.001864457,0.00208961,0.00172107,-0.001740768,-0.001273971,0.000610911,-0.000842866,-0.000192315,0.001251645,0.000873929,-1.03E-05,-0.000431346,-0.001305781,-0.001025356,-0.000109811,0.000389798,0.001190036,0.000824612,0.002586971,0.000790095,0.00069205,-0.000384101,-0.001159466,-0.000396256,-0.00103081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00164709,-0.003671505,0.001702659,0.002443309,0.001935251,0.002272798,0.002004024,0.001736166,0.002122209,0.001255258,0.001363982,0.000312059,0.000401124,0.000345532,0.000325124,0.000218759,0.001107033,0.000227712,0.000780795,-0.000348684,-0.001421353,-0.00093068,-0.000988511,-0.000169729,-0.000593288,-0.00137532,-0.00279019,-0.00259936,6.52E-05,-0.000346684,-0.001125613,0.000218709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00227123,0.002151022,0.002851466,0.001530742,0.001708287,0.002219907,0.001896625,0.001463162,0.000611031,0.000149977,0.000631027,-0.000147982,0.000824747,0.000748763,0.000276277,8.65E-05,-0.000250544,-5.72E-05,-0.000832129,-0.000842812,-0.000544199,-0.001242521,-0.000359882,-0.000625643,-0.001040983,-0.000871281,-0.001001556,-0.000765909,-0.002128379,-0.001255136,-0.00166717,-0.001295287,-0.00150799,-0.000954261,-0.000905656,-0.000673652,-0.003278777,-0.003445515,-0.00176846,0,0,0,0,0,0,0,0,0
2,48.58219678,0,0,0,0,0,0.000324461,0.000425334,8.30E-06,0.000548649,0.000577822,0.000473474,-0.000209562,0.000140718,-2.72E-05,0.000413931,0.000155735,-0.000237297,-0.000724005,-0.001038595,-0.0014759,-0.001760109,-0.001547934,-0.001172504,-0.00093148,-0.000936443,-0.000557721,-0.000431952,-0.000337822,-0.000161605,0.000208506,0.000707567,0.000682207,0.00047043,0.000660887,0.000846476,0.001058349,0.000494456,-0.000732109,-0.000674715,0.001270417,0.00222196,0.000869021,0.000409244,2.52E-05,-0.000476278,-0.001125552,-0.000727921,-0.000930967,-0.000193948,0.000119911,-0.000181316,-0.000407539,-0.000637404,-0.000278717,-0.000312206,-0.000453833,-2.83E-05,0.000380623,0.000344517,0.000341628,0.00057641,-0.002518616,0.001008466,0.000728746,-7.28E-05,-0.000311584,-0.00085809,-0.00139692,-0.00114975,-0.000898323,-0.000124882,-0.00016681,0.000147005,0.000519119,0.001223727,0.001592913,0.001665581,0.002000563,0.001925532,0.002511175,-0.001447421,-0.00096793,-0.000195846,-0.001224815,0.000307838,-0.000189595,-0.000514163,-0.000700526,-0.00078217,-0.000844338,-0.000740152,-0.000643265,-0.000635769,-1.14E-05,0.00063329,0.001144317,0.000524429,0.002333259,-0.000244204,-0.000400887,-0.00058066,0.001134037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000601618,-0.001061406,0.000649091,0.000212541,0.001422103,0.000878281,0.001270006,0.000777409,0.001057884,0.00070032,0.000288101,0.000441976,5.83E-05,4.27E-06,0.000364422,0.000156012,-0.000338112,0.000539069,-0.000793654,-0.001376544,-0.00129217,-0.000374125,8.93E-05,-0.000396868,-0.00086949,-0.000791196,-0.000686758,2.87E-05,0.001105634,0.000761905,0.00086686,0.000630019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001775613,0.00097567,0.001029553,0.001144474,0.001150493,0.000326897,-2.06E-05,-0.000269719,-0.000761219,-0.000773796,-0.001211435,-0.001499809,-0.000718984,-0.000625027,-0.000936274,-0.000686752,-0.000753966,-0.000655366,-0.001144077,-0.000956606,-0.001377994,-0.000689542,-0.000850015,-0.000117398,-3.33E-05,-0.000471555,1.28E-05,0.000997106,0.000503393,0.000269546,0.000167967,0.000554146,-0.000153438,-0.000103662,0.001136426,0.000599205,0.001253706,0.001334252,0.002049625,0,0,0,0,0,0,0,0,0
3,47.67880601,0,0,0,0,0,-8.12E-05,0.000248181,-0.000141537,0.000180778,-0.000124936,-0.000226818,-0.000407501,-0.000109338,4.54E-05,0.000273649,0.000302012,0.0001358,-0.000111795,-0.000319061,-0.000468501,-0.000687584,-0.001003324,-0.001040075,-0.001180324,-0.000890606,-0.000700883,-0.000635983,-0.000448644,-0.000388718,-9.45E-05,0.000229427,0.000469479,0.00016404,0.000542241,0.000657181,0.00033297,-0.000875155,-0.002235231,-0.002123974,0.000732273,0.003227016,0.002817393,0.001733424,0.001047236,-0.000171689,-0.000384008,-0.000466419,-0.00033558,-0.000581234,-0.000690988,-0.000828455,-0.0007086,-0.000525859,-0.000346284,-0.000265603,0.000124236,0.000175629,0.000302285,7.73E-05,0.000368165,-0.000243381,0.001448882,-0.00051193,-0.001601992,-0.001908376,-0.00194797,-0.001365242,-0.001531851,-0.001392644,-0.000964801,-0.000763825,-0.000174708,0.000407312,0.000719262,0.001251951,0.001796328,0.00136445,0.000932277,0.000574318,0.000472752,0.000434276,0.000413651,-0.000466151,-0.000769688,0.000628569,-0.000533448,-0.00105384,-0.001205381,-0.001705167,-0.000948117,-0.000932724,-0.000557599,3.54E-05,0.000792959,0.001285439,0.002228096,0.001163314,0.00142565,0.001762763,0.000767978,0.000649569,0.001489521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002416922,0.001510363,0.001844401,0.002595884,0.001476924,0.001523445,0.000967174,0.001020481,0.000309468,0.000438796,0.000164903,-0.000197547,-0.000471169,-0.000211752,-0.000593287,-0.000160928,0.000110847,-0.00020467,2.83E-05,-4.73E-05,-0.000646916,-0.000713597,-0.000518493,-0.001249008,-0.000923563,-0.001572893,-0.001590851,-0.00137359,-0.00129012,8.49E-05,-9.47E-05,-8.72E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001961203,0.001706293,0.00140407,0.000659106,0.00032739,0.001025234,0.000801355,0.000102529,-0.000173529,0.000113505,-2.19E-05,-0.000146586,0.000110726,-0.000189116,-0.000703359,-0.000402568,0.000107306,-0.000371406,-0.000176147,-0.000152566,-0.0006036,0.000198265,-0.000535234,9.77E-05,-0.000316197,-0.000121854,-0.000791273,-0.000126286,-0.000958951,-0.001134421,-0.000641622,-0.000123641,0.000311454,-0.000601347,-0.000122642,0.000499392,-0.000703103,0.000377001,-0.000469725,0,0,0,0,0,0,0,0,0
4,47.86038889,0,0,0,0,0,-0.003148192,-0.001016424,-0.000460576,0.000936287,0.001229002,0.001422446,0.000895523,0.001002596,0.001342578,0.00135525,0.001203087,0.00093832,0.000497586,0.000191778,-9.47E-06,-0.000567026,-0.000972643,-0.000831776,-0.000657209,-0.000645866,-0.000931103,-0.000839016,-0.000830047,-0.001005892,-0.000913332,-0.000945534,-0.000369835,-0.000592184,-0.000334957,-0.000416854,-0.000810443,-0.001594128,-0.00296509,-0.002392118,0.000342049,0.003642136,0.002230985,0.001563527,-0.001163936,-0.000785819,-0.000707572,6.62E-05,0.000342166,0.000724777,-0.000142051,4.73E-05,-7.88E-05,-0.000509918,-0.000449455,-0.000352742,0.000120401,0.001094509,0.000588481,0.000377035,0.000127579,0.001318775,-0.002228652,7.80E-05,-0.000941111,-0.001646876,-0.001017802,-0.001204681,-0.001531039,-0.001400987,-0.001320019,-0.00107917,-2.00E-05,-0.000142081,-2.36E-05,0.000873222,0.00137075,0.001536629,0.002193762,0.002541732,0.001519511,-0.00167415,-0.000152249,-9.05E-05,-0.001309495,0.000132232,-0.000493419,-0.00113456,-0.001229576,-0.001581334,-0.001521651,-0.001406028,-0.000772583,-0.000184219,-4.21E-05,0.000264595,0.000743746,0.000235725,-0.000667458,0.001187746,0.002162294,0.002316803,0.001841113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001857334,0.000457587,0.002864005,0.002762591,0.001546623,0.001738697,0.002195955,0.001684857,0.001989679,0.001148961,0.000481373,0.00036609,0.000662224,0.000112067,0.00098733,0.001045032,0.001272637,0.000457797,4.13E-05,-2.29E-05,-0.000177978,0.000829849,-0.000461032,-0.001007436,-0.001887658,-0.00181372,-0.002286747,-0.001942706,-0.001301595,-0.000890691,-0.001183801,-0.001527298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000593885,0.000468722,0.000973395,0.000422303,0.000941185,0.000720798,0.001111165,0.000753659,-6.44E-05,0.000686567,0.000418653,-0.000245444,0.000181216,0.000539971,0.000437242,0.000218454,0.000289678,0.000357543,0.0003219,-1.44E-05,-0.000269574,-1.84E-05,-0.000276785,0.000185779,0.000209517,-0.001088566,-0.000478906,0.000587495,-0.001063323,-0.001070384,-0.000880284,-0.000765156,-0.001439595,-0.001453135,-0.001886602,-0.00178924,-0.001147074,-0.001094956,-1.75E-05,0,0,0,0,0,0,0,0,0
5,48.43975969,0,0,0,0,0,-0.000962024,0.000315699,-0.000375831,0.000623185,0.000871643,0.00095021,0.000416757,0.000998671,0.000814296,0.001079298,0.000630727,0.00042288,-0.000179786,-0.000615957,-0.001292207,-0.001795736,-0.001792615,-0.001392871,-0.001227974,-0.000839844,-0.000847234,-0.000380454,-0.000378127,-0.000503206,0.00018452,0.000386904,0.000717189,0.000308501,0.000808356,0.000872267,0.000513838,-0.001304301,-0.004208913,-0.003508588,0.000885108,0.004538447,0.003778434,0.002138223,0.001172521,-0.001288498,-0.001316043,-0.000855972,-0.000705247,0.00016078,0.000223521,-0.000305526,-0.000172096,-0.000594741,-0.000584012,-0.000422457,-0.000686541,0.000267766,0.000307683,0.000490653,0.001012379,0.000964459,-0.001667093,2.08E-05,-0.001051712,-0.000608559,-0.000628611,-0.001244208,-0.002336936,-0.001869296,-0.001369637,-0.001035186,-0.000357159,-0.000479313,-0.000184786,0.001201283,0.001953568,0.0021733,0.002865142,0.003206263,0.001936667,-0.00238697,-0.001168664,-0.000410183,-0.002145615,-4.10E-05,-0.00084933,-0.000355942,-0.000721941,-0.001047243,-0.002034288,-0.001717779,-0.001040283,-3.84E-05,0.000618218,0.001439568,0.002805403,0.001543417,0.001402096,0.000481664,0.001151803,-0.000870551,0.000574889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00127285,-0.000289205,0.000138234,0.001357258,0.002155175,0.001767953,0.002357528,0.002042301,0.001936738,0.001559981,0.001060324,0.001037027,0.000650953,0.000370709,0.001291849,0.000582057,0.000669651,0.00041664,-0.000354792,-0.001161124,-0.001827558,-0.000839826,-0.001166364,-0.000703342,-0.000978873,-0.001771408,-0.002121526,-0.002173234,-0.000416231,-0.000435692,-0.000790024,-8.01E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000570592,-6.23E-06,0.000652487,-0.000538936,-0.000143105,0.000583701,0.001592084,0.000742422,0.00065569,0.00052414,0.000595232,-0.000244993,0.000555539,0.000798357,0.00063601,0.00053124,0.000179942,4.67E-05,-1.90E-06,0.000398575,5.12E-05,0.000293033,-0.000257846,0.000906263,0.000812212,0.00036427,4.33E-05,0.000800878,-0.000750597,-0.000824933,-0.000411056,-0.000246372,-0.000894165,-0.001836213,-0.000733266,8.51E-05,-0.001446382,-0.000155026,0.000164053,0,0,0,0,0,0,0,0,0
6,49.60999358,0,0,0,0,0,0.002559734,0.002077723,0.001578632,0.001642009,0.000771952,-3.68E-05,-0.000303724,-0.000206099,0.000333853,0.000219512,0.000428151,0.000338636,-0.000368176,-0.001276156,-0.001146501,-0.001864353,-0.002215655,-0.001838375,-0.001824137,-0.001915809,-0.001588275,-0.001444723,-0.001089253,-0.000863677,-0.000893209,-0.000357349,0.000343115,0.000182559,0.000495649,0.00086088,0.000543541,-0.00011844,-0.000188601,0.000847967,0.001907437,0.002549749,0.000979549,0.001286266,0.000134732,-0.001575929,-0.000622845,-0.000122776,-0.000724169,-0.000220773,-0.000381498,-0.000135686,-0.00051981,-0.000816142,-0.000319134,9.85E-05,-7.80E-06,-0.000255692,-4.18E-05,-0.000247617,-0.000273219,8.23E-05,-0.00351531,0.001599431,0.000673135,0.000724697,0.000484885,0.000164384,-0.000313998,-0.000560358,-0.000833553,-0.000136649,-0.000209614,-3.99E-05,0.000864205,0.000714264,0.001689068,0.001303351,0.000807576,0.001090932,0.00329695,-0.001317631,-0.001598591,0.00010579,-0.002207328,0.00086917,0.000931086,-0.00039178,-0.000721784,-0.001184551,-0.001169158,-0.001492415,-0.0012103,-0.000894771,-6.95E-05,0.000383741,0.00162914,-0.000194435,0.002730836,-0.000992828,-0.001179858,-0.000555222,0.001554632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002690398,-0.001285881,-0.000731178,0.000735351,0.002023997,0.000901296,0.001670935,0.001340705,0.001006092,0.000893029,0.000880972,0.001261461,-0.000267188,0.000119563,0.001214417,-0.000226868,0.000456877,0.001514528,-4.77E-05,-0.000559015,-0.000394051,-3.29E-05,8.62E-05,-0.000423781,-0.001157445,-0.000776945,-0.001024355,-0.000765399,-0.000191039,0.000368985,0.000183401,0.000314184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001404684,0.000636594,0.00173609,0.002059675,0.001108897,0.000938548,0.001008276,0.000454462,-0.000844421,-0.00060702,-0.000483256,-0.000847602,-0.001202831,-0.000295731,-0.000578688,-0.000269273,2.23E-05,2.98E-05,-0.000390524,-0.000454266,-0.001332794,-0.000830212,-0.000606871,-0.000597065,-0.001186521,-0.000717258,-0.001054088,0.000836527,-0.001497818,-0.000545879,-0.000967755,-0.000219725,0.000167484,-0.000246713,-0.000139658,0.0009652,-0.0005746,0.000147333,0.001296952,0,0,0,0,0,0,0,0,0
7,49.46782313,0,0,0,0,0,0.000753198,-6.47E-05,-1.36E-05,0.000143926,0.000308772,0.000205798,-0.000429295,-6.18E-05,-8.45E-05,-7.33E-06,0.000336832,0.000609793,0.00040769,0.000257057,7.48E-05,-0.000591224,-0.000739693,-0.000912664,-0.000750824,-0.00067335,-0.000677058,-0.000464849,-0.000403567,-0.0002749,-8.44E-05,0.000402742,0.000365192,0.000187911,0.000424579,0.000400133,0.00039782,-0.000546316,-0.0024791,-0.00233019,0.000427244,0.002578758,0.002103036,0.001477271,0.002725685,-0.000938588,-0.000767138,-0.000554666,-0.001159301,-0.000453517,-0.000172238,-0.000392977,-4.66E-05,-0.000450222,-0.000432344,-0.000295316,-0.000333546,8.48E-05,0.00053706,0.000657185,0.000502373,0.00026329,-0.002032685,0.000387008,8.34E-05,-0.000138665,-0.000616527,-0.001234981,-0.002200967,-0.001339591,-0.001052665,-0.000830155,-0.000382283,-0.000272303,0.000466154,0.000812673,0.00181843,0.001760297,0.002022899,0.002456771,0.002314979,-0.001212244,-0.000907625,-0.001117234,-0.001413634,0.000327107,-0.000517527,-0.000476012,-0.000794684,-0.001035859,-0.001151145,-0.001192416,-0.000700516,-0.000364536,0.000383973,0.000415765,0.001688209,0.000418589,0.001347803,-0.000368401,0.000163622,-0.000229472,0.000246109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000541298,-0.000713817,0.001259678,0.001637756,0.002748049,0.001600808,0.001332789,0.001359466,0.001416529,0.001006235,0.000581554,0.000820227,8.79E-05,0.000419572,0.001092426,0.000640155,4.24E-05,0.000533534,0.000116818,-0.000738761,-0.001481615,-0.000725499,-0.000369005,-0.000270705,-0.000187444,-3.57E-05,-0.000711221,-0.000890559,0.000431268,0.000295005,0.000325027,0.000300575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001284553,0.001303035,0.001357496,0.000758325,0.000190467,0.000603801,0.000717705,-0.000214986,0.000165746,-0.000192128,-0.000200709,-0.000502783,-0.000338224,-0.000500072,-0.000820338,-7.04E-05,-0.000685466,-0.000432741,-0.000894057,-0.000920241,-0.00123576,-0.001304632,-0.000756587,-0.000457342,-0.000697872,-0.000291869,-0.000956954,0.000429147,-0.000793108,-0.000301336,-0.000646393,-0.000188992,-0.000443605,-0.000347014,-7.04E-05,-0.000315024,-0.00053101,-0.00011313,0.000257714,0,0,0,0,0,0,0,0,0
8,49.48657502,0,0,0,0,0,0.0004586,0.000554826,0.000553313,0.000622093,0.000260869,-2.73E-05,-0.00050908,0.000257992,0.000179732,0.000319317,0.000107519,-4.50E-05,-0.000270706,-0.000606613,-0.000585566,-0.000822019,-0.001186327,-0.000791019,-0.001312719,-0.001350464,-0.000952842,-0.000745565,-0.00044365,-0.000422164,-0.000149413,0.00043573,0.00049236,0.00010151,0.000663425,0.000772381,0.000472324,-0.001379083,-0.002481787,-0.002238575,0.001020181,0.00354343,0.002765101,0.001023246,0.000217243,3.32E-05,-0.000402645,-0.000552416,-0.000730161,-0.000174722,-0.000806443,-0.000301052,-2.65E-06,1.52E-06,0.000377779,0.000181171,0.000646936,0.000443392,0.000283038,0.000244457,-0.000385049,-0.000272509,-0.000442684,6.04E-05,-0.000384758,-0.001462012,-0.001081085,-0.001124771,-0.00184267,-0.001518373,-0.001067401,-0.001081651,-0.000502976,0.000215763,0.00085679,0.001759588,0.001770874,0.001312856,0.000694539,0.000879545,0.002549189,0.000288867,-0.000996127,-0.000456365,-0.001015011,0.000792596,-0.00026993,-0.001314939,-0.001794137,-0.001573683,-0.001168305,-0.00170905,-0.001650359,-0.000966657,-0.000127609,0.000448805,0.002437586,0.000588196,0.002320308,0.002376493,0.000741466,-0.001105815,-0.000865031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002559086,-0.000838665,0.00031722,0.002480459,0.002033497,0.001488598,0.001886955,0.00176643,0.001324444,0.001136625,0.000861438,0.00041326,0.000826129,0.00042072,0.001020666,0.000136123,0.000314175,0.000498269,-0.000179499,-0.000406046,-0.000717087,-0.001063726,-0.000350779,-5.42E-05,-0.000157394,-0.000190917,-0.000586591,-0.00017643,-0.000261144,0.000753359,0.000413129,0.000306616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002471981,0.002058838,0.001785737,0.001304728,0.000895288,0.001396303,0.000924178,-0.00011287,-0.000285148,-6.88E-05,-0.000273454,-0.000447232,-0.00043636,-0.000901231,-0.000925669,-0.001227054,-0.000774739,-0.001224565,-0.001663671,-0.001449706,-0.001823761,-0.001208063,-0.001186744,-0.000473677,-0.000475815,-0.000523667,-0.000699731,0.000400674,-0.00072266,-0.000835685,-0.000372109,0.000239646,0.000514291,-0.000171057,-0.000187808,2.02E-05,0.000451112,0.000567383,0.001291035,0,0,0,0,0,0,0,0,0
9,48.99564782,0,0,0,0,0,-0.000909321,0.000196857,2.03E-05,0.000651858,0.000741099,0.000743984,0.000497943,0.000557832,0.000533593,0.000664018,0.000329159,-0.000201738,-0.000630805,-0.001029605,-0.001202839,-0.001646167,-0.001410221,-0.000946853,-0.0007055,-0.00052285,-0.00039371,-0.000230572,-0.000278435,-8.65E-05,7.35E-05,0.000181974,0.000404222,0.000201806,0.000511454,0.000587145,0.000454083,-0.001145551,-0.002863484,-0.002616245,0.000837567,0.003758476,0.002977578,0.001553425,6.63E-05,-0.001350145,-0.000855974,-0.000702968,-0.000448327,3.73E-05,-6.91E-05,-0.000144661,-0.000231971,-0.000147462,-0.000416744,-0.000309895,-0.000109701,0.000157854,0.000443886,8.77E-05,0.000378941,0.000817268,-0.001663811,-0.00035102,-0.00044495,-0.000294058,-0.000297494,-0.00027548,-0.000748422,-0.000836133,-0.00108994,-0.00092133,-0.000509019,-0.000336,-5.68E-05,0.00057777,0.000787492,0.001025844,0.001380252,0.001781809,0.001868789,-0.001051823,-0.001503091,-0.000238509,-0.00133332,0.000223909,0.000386624,-8.93E-05,-0.000192378,-0.000461163,-0.000752294,-0.001136376,-0.000745264,-0.000120598,0.000523759,0.000620221,0.001587997,0.000437221,0.000893707,0.000367911,0.00103474,0.000734866,0.00090964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000851408,-7.88E-05,0.001905942,0.002091645,0.001778245,0.001454199,0.00157122,0.001085043,0.00112421,0.000893109,0.00024777,0.00040362,0.000207413,-0.000241142,0.000464953,0.000320475,3.24E-05,1.29E-05,0.000113194,-0.000775668,-0.000886684,-0.000746858,-0.000944464,-0.001066152,-0.001242428,-0.000992588,-0.001663906,-0.002059388,-0.002253621,-0.000118599,-0.00033653,-5.80E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001352012,0.001307388,0.001637576,0.000937404,0.000815712,0.000889118,0.000516665,0.000357614,0.000193228,0.000101452,-0.000119105,-0.000625666,-0.000278127,-0.000320612,-0.000633748,-0.000219914,-0.000281997,-3.14E-05,-0.000279142,-0.000135018,-0.000356926,-0.000248164,-0.000125788,-4.43E-05,4.91E-05,0.000119987,-8.83E-06,0.00024128,-0.000435265,-0.00023229,-0.000719557,0.000148041,-0.000601591,-0.000504307,-0.000235448,0.000316394,-0.000195781,0.000458298,8.54E-05,0,0,0,0,0,0,0,0,0
10,49.83929085,0,0,0,0,0,0.001043846,0.000627467,0.000685116,0.000808419,0.000428495,0.000243636,0.000252233,8.56E-05,0.000364762,0.000254084,0.000380787,0.000306067,4.68E-05,-0.000330584,-0.000558854,-0.000712218,-0.00055515,-0.000516906,-0.000851901,-0.000963133,-0.000682776,-0.00059234,-0.000716814,-0.000735037,-0.000795022,-0.000382961,-0.000720027,-0.000651668,-0.000658273,-0.000565451,-0.00067424,-0.000548309,-0.001386704,-0.001529734,0.000283649,0.002611087,0.002280706,0.002009763,0.000376053,0.000301,-0.000195686,-6.60E-06,-0.000125896,-0.00019749,8.14E-05,-0.000112118,3.71E-05,-0.00042187,-0.000487971,-0.001019647,-0.000383448,-0.000472401,0.000442157,-0.000332394,9.54E-05,-0.000336606,-0.002158778,-9.09E-05,-0.000225914,-0.00064204,-0.001089412,-0.00107271,-0.001254605,-0.001367966,-0.001002807,-0.000565784,-0.00053036,-9.25E-05,0.000448221,0.001170182,0.00183138,0.001702109,0.001653527,0.001800267,0.003020765,-0.000989347,-0.001174398,-0.000458568,-0.001649233,0.000952877,0.000444276,-0.001090153,-0.001754568,-0.001755845,-0.001935247,-0.001605575,-0.00113067,-0.000367328,0.000482344,0.00096672,0.002008196,0.001282483,0.002853251,0.000124338,-9.82E-05,-0.000500676,0.001440274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000731151,4.30E-05,0.000436516,0.000475034,0.0019567,0.001889883,0.002197298,0.001687876,0.001349612,0.001274135,0.000983398,0.000856719,0.000611851,0.000824615,0.00060213,-0.000303819,0.000118592,0.000737406,-0.000730927,-0.000614296,-0.001367835,-0.000778658,-0.000665402,-0.00039497,-0.001063192,-0.00089546,-0.001523916,-0.000738054,0.000593983,-0.000588815,0.000222047,-0.000250263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000165787,-0.000506017,0.000122869,-0.000255845,-0.000469969,-0.000186098,1.33E-05,-0.00012289,-0.000350649,-4.61E-05,-0.000131608,-0.000397773,-0.000672809,-0.000168761,-0.000123869,0.000200532,7.99E-05,0.000371838,-0.00030619,-0.000381155,-0.000141703,0.000520987,0.000286737,0.000693983,1.80E-05,0.000585779,3.82E-06,0.000164452,-0.000749464,-0.000535441,0.000267213,-0.000276504,0.001029407,-0.000366977,0.000261342,0.000302967,-0.001266376,-0.000866913,-0.000167542,0,0,0,0,0,0,0,0,0
