Iteration,Intercept,Wave_366,Wave_376,Wave_385,Wave_395,Wave_405,Wave_414,Wave_424,Wave_434,Wave_443,Wave_453,Wave_463,Wave_472,Wave_482,Wave_492,Wave_502,Wave_511,Wave_521,Wave_531,Wave_541,Wave_550,Wave_560,Wave_570,Wave_580,Wave_589,Wave_599,Wave_609,Wave_619,Wave_628,Wave_638,Wave_648,Wave_655,Wave_658,Wave_665,Wave_668,Wave_675,Wave_685,Wave_694,Wave_704,Wave_714,Wave_724,Wave_734,Wave_743,Wave_753,Wave_763,Wave_773,Wave_782,Wave_792,Wave_802,Wave_812,Wave_821,Wave_831,Wave_841,Wave_850,Wave_860,Wave_870,Wave_880,Wave_889,Wave_899,Wave_909,Wave_918,Wave_928,Wave_938,Wave_947,Wave_957,Wave_967,Wave_976,Wave_986,Wave_995,Wave_1005,Wave_1015,Wave_1024,Wave_1034,Wave_1044,Wave_1053,Wave_1063,Wave_1072,Wave_1082,Wave_1091,Wave_1101,Wave_1111,Wave_1120,Wave_1130,Wave_1139,Wave_1149,Wave_1158,Wave_1168,Wave_1177,Wave_1187,Wave_1196,Wave_1206,Wave_1215,Wave_1225,Wave_1235,Wave_1244,Wave_1253,Wave_1254,Wave_1263,Wave_1264,Wave_1273,Wave_1283,Wave_1293,Wave_1303,Wave_1313,Wave_1323,Wave_1333,Wave_1343,Wave_1353,Wave_1363,Wave_1373,Wave_1383,Wave_1393,Wave_1403,Wave_1413,Wave_1423,Wave_1433,Wave_1443,Wave_1453,Wave_1463,Wave_1473,Wave_1483,Wave_1493,Wave_1503,Wave_1513,Wave_1523,Wave_1533,Wave_1542,Wave_1552,Wave_1562,Wave_1572,Wave_1582,Wave_1592,Wave_1602,Wave_1612,Wave_1622,Wave_1632,Wave_1642,Wave_1652,Wave_1662,Wave_1672,Wave_1682,Wave_1692,Wave_1702,Wave_1712,Wave_1722,Wave_1732,Wave_1742,Wave_1752,Wave_1762,Wave_1772,Wave_1782,Wave_1792,Wave_1802,Wave_1811,Wave_1821,Wave_1831,Wave_1841,Wave_1851,Wave_1861,Wave_1868,Wave_1871,Wave_1873,Wave_1878,Wave_1888,Wave_1898,Wave_1908,Wave_1918,Wave_1928,Wave_1938,Wave_1948,Wave_1958,Wave_1968,Wave_1978,Wave_1988,Wave_1998,Wave_2008,Wave_2018,Wave_2028,Wave_2038,Wave_2048,Wave_2058,Wave_2068,Wave_2078,Wave_2088,Wave_2099,Wave_2109,Wave_2119,Wave_2129,Wave_2139,Wave_2149,Wave_2159,Wave_2169,Wave_2178,Wave_2188,Wave_2198,Wave_2208,Wave_2218,Wave_2228,Wave_2238,Wave_2248,Wave_2258,Wave_2268,Wave_2278,Wave_2288,Wave_2298,Wave_2308,Wave_2318,Wave_2328,Wave_2338,Wave_2348,Wave_2358,Wave_2368,Wave_2378,Wave_2388,Wave_2398,Wave_2408,Wave_2418,Wave_2428,Wave_2437,Wave_2447,Wave_2457,Wave_2467,Wave_2477,Wave_2487,Wave_2497
1,138.4705673,0,0,0,0,0,-0.001962845,-0.011409202,-0.006221217,0.016668582,0.006300441,0.012478729,0.005056893,0.006948181,0.007932691,0.002368457,0.004203177,0.003855792,0.010467515,0.014184024,0.007890804,0.003565009,0.003389213,-0.010374447,-0.003898292,-0.007228465,-0.010638642,-0.009468983,-0.019174478,-0.015267174,-0.015662096,-0.01826012,-0.016262492,-0.017787332,-0.020050195,-0.014896142,-0.023195034,-0.023646171,-0.028697826,-0.008425574,0.027811063,0.051816258,0.025738437,0.009114238,-0.031492343,-0.014400549,-0.011476651,-0.001674393,-0.003723774,0.007967676,0.01082112,0.011082153,0.002947219,-0.00623147,-0.004818647,0.001723533,-0.014622241,-0.005714445,0.007924485,-8.02E-05,0.018657298,-0.01278447,0.046509571,-0.026476855,-0.007191551,-0.001588236,-0.055146571,-0.042645815,-0.065830988,-0.050353101,-0.045952966,-0.023227527,-0.012991049,0.0007344,0.017759516,0.018481139,0.036585172,0.047083199,0.061565682,0.057273597,0.03581966,-0.035593712,0.018000604,-0.008925731,-0.025456159,-0.01625433,-0.041354201,-0.057216222,-0.062541634,-0.05302206,-0.038899751,-0.026093891,-0.016175073,0.008409946,0.020226388,0.033695906,0.044620024,0.040675383,0.009795802,0.031516041,0.036275114,0.053129451,0.059796301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05449229,0.000672131,0.032760945,0.058302369,0.06053884,0.04880937,0.041463077,0.034753803,0.006284174,0.015051272,-0.001576029,-0.004057556,-0.01396454,-0.009728598,-0.020776854,-0.013407973,-0.019689588,-0.024817839,-0.013651283,-0.017699962,-0.030174168,-0.026006457,-0.01489409,-0.00925915,-0.004692654,-0.026864691,-0.018723094,-0.001357723,-0.022849104,0.006446704,0.020491164,0.017912043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004324462,0.007479164,0.001535637,-0.01323674,-0.018390382,-0.008146107,-0.00293558,-0.017365549,-0.020691824,-0.008959421,-0.019975826,8.43E-05,-0.01179151,-0.008534919,0.00407098,0.002936089,0.001246142,0.004137458,0.003221912,-0.002934541,-0.007189978,0.011110763,-0.00358643,-0.005451232,-0.006090567,0.016128048,-0.004602234,0.025660717,0.016303349,0.026110794,0.016377629,0.010750662,-0.008503146,0.015952465,0.030232635,0.002943906,0.022352088,0.035668149,-0.003672261,0,0,0,0,0,0,0,0,0
2,121.3699958,0,0,0,0,0,0.040028724,0.009391226,0.007989656,0.003426525,-0.004830252,-0.00857199,-0.00440923,-0.003058298,-0.004900239,-0.001465491,0.009275801,0.006846639,0.002395976,0.001966575,-0.003222044,-0.015030615,-0.018656353,-0.02371858,-0.019925852,-0.017805766,-0.018550881,-0.01232775,-0.011156789,-0.013089958,-0.011559093,0.001616977,0.001065408,-0.013021702,-0.002944356,0.00314993,-0.005850452,-0.017341326,-0.034259589,-0.030841611,0.032894935,0.081212988,0.056904296,0.019974906,-0.021696961,-0.00369799,-0.010563212,-0.010692759,-0.005501216,-0.011543838,0.013097796,0.005369157,-0.011001613,-0.014289189,-0.01740946,-0.006928117,-0.01808418,-0.010798749,0.009393226,0.011664935,0.029765112,-0.019920516,0.083565769,-0.022808184,-0.046191176,-0.025303204,-0.072795807,-0.04540391,-0.065963387,-0.043737239,-0.029651341,-0.012579216,0.007970842,0.020851691,0.029608167,0.045843976,0.047242111,0.053570209,0.062929641,0.053607426,0.026854236,-0.037275978,0.020748076,-0.000261067,-0.023617832,0.00611254,-0.045181096,-0.052828604,-0.05535735,-0.07449888,-0.061692777,-0.053443108,-0.038759411,-0.011918112,-0.000121875,0.017127985,0.023062533,0.012978542,0.014625968,0.036173012,0.053009055,0.04554585,0.076915397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009284958,-0.024837445,0.022851512,0.045792303,0.045621279,0.043899115,0.049321534,0.034203798,0.036611967,0.0271017,0.015559518,0.01585406,0.007540786,0.00302274,-0.000422453,0.00150926,0.010647724,-0.002216254,-0.002377554,-0.010491371,-0.012697246,-0.00978272,-0.008404235,-0.010541015,-0.013707322,-0.038612133,-0.031165174,-0.037772868,-0.024107385,-0.0227861,-0.007442859,-0.002644527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025024395,0.023178702,0.011473456,-0.012077482,-0.018037112,-0.007084888,0.016788298,0.00318587,-0.004507953,0.00391411,0.001293385,0.001170392,-0.000423086,0.004928599,-0.001691174,0.00300381,0.002213353,0.010588134,0.009293792,0.002046434,-0.006089283,0.003059201,-0.010023464,-0.004886862,-0.015220408,-0.006326699,-0.019511981,-0.016214232,-0.006506659,-0.010555005,0.004894538,0.00835206,-0.01171359,0.007871042,0.005513162,0.018328022,0.02848402,0.0272715,0.036897039,0,0,0,0,0,0,0,0,0
3,161.5609804,0,0,0,0,0,0.05254715,0.007111776,0.013058153,0.026449986,0.018971321,0.020034273,0.026610153,0.029515588,0.025017291,0.02548844,0.003888163,-0.006618585,-0.022733356,-0.038519552,-0.042880135,-0.052879038,-0.040545797,-0.041855477,-0.027735308,-0.025303924,-0.024152177,-0.017168256,-0.024069139,-0.016645473,-0.025088168,-0.006512303,-0.014438313,-0.021979824,-0.0148573,-0.009851768,-0.020125354,-0.046914069,-0.068861314,-0.026611769,0.072615009,0.1092589,0.090600625,0.036401889,-0.01418577,-0.032513211,-0.047181123,-0.035467032,-0.019585616,-0.026403022,-0.009965236,-0.001737534,-0.017463469,-0.024072341,-0.010364161,-0.00879641,-0.007412012,-0.012381579,0.009749698,0.011734429,0.022263654,-0.027497054,0.060319723,-0.009323716,-0.019633341,-0.031167308,-0.050665099,-0.027875477,-0.049375438,-0.030868738,-0.027073518,-0.007457824,0.021815504,0.027020075,0.036587154,0.05058752,0.047217604,0.056353901,0.067692609,0.042055876,0.031452709,-0.004277066,0.022679465,-0.004893931,-0.024786222,0.005991516,-0.028074345,-0.03965677,-0.059425595,-0.061145567,-0.049272147,-0.043330325,-0.032392167,-0.009847009,0.005276843,0.012436942,0.010852839,0.017448703,-0.021423927,0.023804246,0.018504084,0.015062105,0.039241848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034946255,0.004862182,0.056534005,0.060596939,0.05211149,0.060546621,0.05580401,0.048178009,0.040118118,0.029863401,0.012447072,0.020411604,0.004071432,-0.014326472,-0.0033288,0.005174603,-0.009594414,-0.018500392,-0.008200214,-0.032715875,-0.053255545,-0.031568857,-0.019260923,-0.005405448,-0.005688123,-0.01928946,0.002932166,9.18E-05,-0.001094135,0.007718121,0.002713787,0.030408948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004152726,0.004729183,0.014319992,-0.019765096,-0.011020755,-0.011946828,0.010946705,-0.00733624,-0.008828743,-0.016353069,-0.030256269,-0.016603343,-0.017321956,-0.019421852,-0.012815016,-0.013088223,-0.012867176,-0.010886524,-0.014321118,-0.013175937,-0.014769047,0.006382873,-0.023261988,0.003460087,-0.025077452,0.002683396,0.011094075,0.008991186,0.018268407,0.027167927,0.007414791,0.034325194,-0.011694357,0.005121775,0.023097994,0.023364571,0.02551323,0.031159542,0.030988736,0,0,0,0,0,0,0,0,0
4,175.5923906,0,0,0,0,0,0.029013334,0.016508092,0.019721193,0.02102445,0.022918809,0.02277078,0.014839976,0.018956749,0.015553219,0.014502101,0.004016854,-0.003446452,-0.015629367,-0.02499534,-0.02871495,-0.044522785,-0.04618725,-0.042134043,-0.036958279,-0.037234332,-0.035130921,-0.027532441,-0.025308585,-0.022061839,-0.016605788,-0.000647542,0.002955024,-0.006873056,0.004919525,0.006107098,0.00181054,-0.035895449,-0.063897158,-0.041761056,0.045271165,0.106370571,0.075625267,0.0271132,0.026509161,-0.014320046,-0.035189884,-0.033801851,-0.022357853,-0.027101493,-0.009311061,-0.008167032,-0.008731981,-0.007056471,0.000332648,-3.29E-05,0.003889882,0.021335651,0.023845648,0.026985967,0.037547315,-0.009621542,0.026626372,-0.011766436,-0.036865188,-0.065767165,-0.056247025,-0.056851231,-0.070004105,-0.05567892,-0.036589905,-0.030329897,-0.00062787,0.014464483,0.032312099,0.049548639,0.050598444,0.053524496,0.057205713,0.036721404,0.03649954,-0.037281999,0.002209705,-0.000863531,-0.028154095,0.024829655,-0.015706328,-0.039843166,-0.050770024,-0.055890981,-0.040550243,-0.029316379,-0.017397391,-0.011973161,-0.001120188,0.017553682,0.049967619,0.021649051,0.018221176,0.069286156,0.03688647,0.008107909,0.00450887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00640612,-0.017342243,0.040601802,0.039640262,0.055081788,0.0607999,0.061403475,0.033127992,0.039775366,0.015316505,0.009054141,0.008545025,-0.005654709,-0.00138044,-9.50E-05,-0.000841642,-0.015667561,-0.015661128,-0.011383758,-0.018269603,-0.023284446,-0.016651701,-0.018132046,-0.019037757,-0.010425113,-0.013905133,-0.012842868,-0.006743704,-0.00558803,0.010099561,0.001188982,0.013096748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032311513,0.030723778,0.030301292,0.010590658,0.00778147,0.006426335,0.004796505,-0.008736028,-0.009142091,-0.008674861,-0.012399017,-0.008505809,-0.0088005,-0.003380722,-0.018265598,-0.010501453,-0.00858482,-0.021725568,-0.006047982,-0.011489659,-0.021205458,-0.002942943,-0.009446558,-0.013108658,-0.010846891,-0.000582337,-0.014736112,0.014130768,-0.004062559,0.001045013,-0.002355455,0.011983758,-0.010289516,-0.004347581,-0.008066527,0.010508685,0.022897632,0.030990948,0.029373568,0,0,0,0,0,0,0,0,0
5,125.1018415,0,0,0,0,0,-0.018841212,-0.007386217,0.018842243,0.023136149,0.012998693,0.012354322,0.016238414,0.014460048,0.024529399,0.017536522,0.018084103,0.017710577,0.010716115,-0.000195205,-0.005637912,-0.016801096,-0.031213317,-0.034482403,-0.033162206,-0.030015866,-0.030740091,-0.024782771,-0.025508964,-0.01545379,-0.022444242,-0.005777727,0.000892421,0.004070574,0.00061703,0.006727943,-0.006081123,-0.030147001,-0.055453155,-0.038285257,0.058181264,0.098172731,0.07901193,0.035016959,-0.041312926,0.015176277,-0.015078225,0.002698605,0.003399603,-0.007357409,0.006307319,0.000586904,-0.017821345,-0.023968132,-0.019230554,-0.018279288,-0.023524286,-0.02544146,0.004039455,0.008674306,0.011537189,-0.046081649,0.08560385,-0.025911566,-0.035096866,-0.032833103,-0.080105734,-0.053281919,-0.082681934,-0.058543689,-0.047094078,-0.017291393,0.003307669,0.011152595,0.042883197,0.048955148,0.063009911,0.066390961,0.074859498,0.064232071,0.030337243,-0.016149738,0.039266217,0.022700348,-0.050247609,0.004137789,-0.044514673,-0.049829892,-0.057044904,-0.06558724,-0.04309866,-0.030617689,-0.030170424,-0.00547449,0.01628226,0.0184002,0.03640227,0.008539851,0.023624977,0.010661107,0.055306354,0.031377691,0.030636161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031486331,0.035392935,0.016875386,-0.015810505,0.001825013,0.025796428,0.027594699,-0.00547257,-0.003582129,0.010837665,-0.002456233,-0.00351049,-0.015917732,-0.002823436,-0.017410687,0.007656021,0.004750924,0.003187475,0.003226859,-0.001786829,0.002055474,-0.001345435,-0.003078351,0.010483412,-0.013323591,-0.002356259,0.007099447,0.009144068,-0.02964876,-0.00214489,0.009631064,0.016236828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02691244,0.013191433,0.014504388,0.00331121,-0.002997898,0.003233605,0.011920582,0.003917589,0.008356278,0.00603524,0.007620756,0.016289783,0.00195956,0.023210516,-0.003316461,-0.00381249,0.001128991,0.008416462,0.013048768,-0.005400531,-0.019489929,0.008500155,-0.012385335,-0.026584183,-0.021359546,-0.002655368,-0.000908191,0.016508552,0.003286865,0.000346759,7.34E-05,-0.000436018,-0.038717702,-0.001216611,-0.015236698,-0.006589213,0.014004776,0.005648549,0.007571811,0,0,0,0,0,0,0,0,0
6,116.8580165,0,0,0,0,0,0.021787264,-0.006229918,-0.009006768,-0.002866878,0.000488137,-0.002838678,-0.000140896,0.003559685,0.003966696,0.008200975,0.003162986,0.004635813,-0.003587442,-0.01017666,-0.01250665,-0.024094946,-0.026854865,-0.029211999,-0.017524541,-0.019789092,-0.022001826,-0.015017572,-0.012295625,-0.005406021,-0.004123105,0.000464382,0.008295062,0.001146821,0.006503743,0.003235297,-0.009577695,-0.0369059,-0.056799488,-0.027094177,0.057804993,0.082625233,0.060597682,0.019159944,-0.005769741,-0.00870621,-0.009456896,-0.00135243,-0.008255594,-0.005544925,0.006894066,-0.004099256,-0.017537017,-0.015725456,-0.011537887,-0.013123426,-0.027551736,-0.01569479,-0.013387569,0.002764042,-0.00092144,-0.056137197,0.119818748,-0.005090638,-0.012173004,-0.014070139,-0.05436713,-0.053331942,-0.069224851,-0.046673566,-0.039660555,-0.0129698,0.003507829,0.018890605,0.026136492,0.03904564,0.04106196,0.051970733,0.066428842,0.059075573,0.020994613,0.000993031,0.047364234,0.02462411,-0.011317484,-0.042908283,-0.055044185,-0.055947749,-0.061148594,-0.080946379,-0.064674841,-0.043670685,-0.030930569,-0.010827572,-0.005116914,-0.003049582,0.01256646,-0.001797522,-0.010135025,0.066763356,0.083378926,0.059442117,0.046569703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012537645,0.032116456,0.045148542,0.01902824,0.035995515,0.043224714,0.044092369,0.032357138,0.044873934,0.021634636,0.015563382,0.001567626,0.001837071,0.005465612,0.000933581,0.014837331,0.011892068,0.005318035,0.001883631,-0.000576253,-0.007021878,-0.007461436,-0.006171426,-0.000206192,-0.009866552,-0.014815426,-0.021389112,-0.006150758,-0.026452087,0.001285304,-0.016237602,-0.018184941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054238789,0.050686521,0.055004134,0.037400461,0.009147036,0.015882506,0.012454464,-0.004453662,-0.000275866,-0.000556132,-0.009442101,-0.020012521,-0.019106478,-0.00629148,-0.010874809,-0.00815347,0.000950322,-0.016414372,-0.020156165,-0.014248835,-0.023357409,-0.020018956,-0.016023018,-0.029931011,-0.027120926,-0.014123242,-0.015982043,0.006304001,-0.008176865,-0.000714657,-0.014690604,-0.001717524,-0.022406375,-0.006625115,0.004695947,-0.005136259,0.013440942,0.029371753,0.046520101,0,0,0,0,0,0,0,0,0
7,155.2761661,0,0,0,0,0,0.049031802,0.01640894,0.007996443,0.005625019,0.000525013,0.005049181,-0.008918036,0.000971225,-0.001512138,0.000394678,0.002292123,-0.006465637,-0.011524177,-0.014026025,-0.010955416,-0.023495377,-0.026067889,-0.025633695,-0.026843793,-0.029027377,-0.022286027,-0.015749879,-0.01438893,-0.012822089,-0.010404855,-0.006160083,0.001237755,-0.006333624,0.002292097,0.001147704,-0.007923277,-0.043777411,-0.060285597,-0.038591384,0.053142486,0.108457258,0.0623818,0.022093974,-0.010975976,-0.039074742,-0.029454144,-0.030117624,-0.032161527,-0.018817479,-0.010253344,-0.004336286,-0.010928293,-0.000858763,0.004925422,0.012247207,0.007977536,0.012323626,0.017942891,0.028663564,0.04196478,-0.016878441,0.054922714,-0.011925326,-0.038635104,-0.049065738,-0.051225514,-0.046613335,-0.058322518,-0.039884187,-0.021757588,-0.020201628,0.002696401,0.015946796,0.027976581,0.044468557,0.039436806,0.043394054,0.042089765,0.023980997,0.036871346,-0.02835432,0.042188401,-0.011018203,-0.020592656,-0.010247753,-0.038187757,-0.053004837,-0.054716153,-0.066463934,-0.054500781,-0.038384775,-0.030417198,-0.005599334,0.001198281,0.016520949,0.042878842,0.017466991,0.021017562,0.062676474,0.065361168,0.018340427,0.022470264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012816056,0.000189835,0.062321141,0.047157937,0.05611614,0.039618455,0.051296348,0.030253124,0.042495713,0.019321274,0.017973917,0.002222681,-0.008906144,0.002055394,0.005307084,0.001349658,-0.002376492,-0.008847611,-0.006475332,-0.01476398,-0.02162538,-0.007475558,-0.011572457,-0.012610152,-0.003439577,-0.017169957,-0.022376752,-0.012960965,-0.03519395,-0.004177329,-0.006894396,-0.005583566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04106559,0.038661304,0.035235453,0.005922188,-0.00204344,0.010938287,0.013105001,-0.007358168,-0.006959076,0.008011635,-0.003509903,-0.00882218,-0.017199898,-0.004412479,-0.009768998,-0.009442861,-0.005126402,-0.011495619,-0.014303772,-0.020666917,-0.018572262,-0.005095798,-0.003658778,0.003265892,-0.008619143,-0.001472501,-0.014012896,0.013346111,-0.003024327,-0.013307405,-0.006579921,0.017857193,-0.032089074,-0.006389343,0.004546524,-0.029993011,0.018418797,0.037373856,0.039159336,0,0,0,0,0,0,0,0,0
8,119.9292322,0,0,0,0,0,-0.044019391,-0.026876817,0.006353359,0.025844261,0.041269673,0.046441822,0.045596558,0.042342687,0.025548894,0.024324031,0.001926741,-0.000786425,-0.018939928,-0.037795667,-0.023113382,-0.029906916,-0.028051553,-0.023048688,-0.000107273,-0.002071008,-0.001759732,0.003245404,-0.000880275,0.004755285,0.009555751,0.01951939,0.023054717,0.011158199,0.021816351,0.019403769,0.003094279,-0.007183127,-0.060488185,-0.023314721,0.045795951,0.070617005,0.039334325,0.01343977,-0.047955675,-0.073204653,-0.061102175,-0.021330273,0.006524387,-0.001306717,0.017537829,0.012249507,0.011776635,0.018798323,0.014129444,0.023784094,0.013586921,0.033590689,0.038915501,0.025938967,0.057613313,-0.011741437,0.04899747,-0.050992271,-0.062937849,-0.004794255,-0.041966627,-0.039567547,-0.078758578,-0.061262584,-0.040422143,-0.026027512,-0.021108741,-0.002185111,-0.010832625,0.012190923,0.021722698,0.039378799,0.058839322,0.062850011,0.003085793,-0.032830319,0.025131057,-0.012783112,-0.014837753,0.037993897,0.006491968,-0.001817222,-0.034930361,-0.064647204,-0.034533486,-0.0184224,0.00779693,0.022406257,0.036007626,0.028504868,0.022308277,0.056655896,0.023842303,-0.006054362,0.007894486,-0.008455023,-0.009215723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0463117,-0.090469033,0.068099371,0.07637637,0.083779942,0.077139365,0.084788019,0.054173717,0.038402319,0.036635865,-0.007314544,0.007394196,-0.010574461,-0.023001538,-0.030886944,0.005669672,0.006093605,-0.022345853,0.007399944,0.001736557,-0.040066904,-0.038136341,-0.025506545,-0.041519529,-0.005059166,-0.021868252,-0.048398121,-0.018197432,-0.005723306,-0.017768067,-0.02884802,0.033652751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032593664,0.042972726,0.036086539,-0.020779831,-0.0356397,-0.013408176,0.001417009,-0.010177039,-0.012825657,-0.026927928,-0.009213656,0.002617963,-0.012267533,0.003211219,0.000365912,0.037116835,0.019440956,0.012115689,0.050392742,0.018934134,0.014362461,0.024912389,-0.003297665,-0.035968784,-0.04084426,-0.014676023,-0.031868537,-9.09E-05,-0.026173108,-0.001328012,-0.00019199,-0.003740358,-0.015360355,0.00438178,0.004955958,0.03353671,-0.002072586,-0.005527501,0.00166246,0,0,0,0,0,0,0,0,0
9,150.8000245,0,0,0,0,0,0.045592424,0.02046865,0.008743885,0.00505799,-0.00036846,0.001076258,0.002537403,0.000642269,0.004168944,0.011070743,0.006737751,0.000172823,-0.009079723,-0.01112466,-0.023238213,-0.035389853,-0.042081132,-0.038541464,-0.028349811,-0.026623433,-0.028632319,-0.014599869,-0.011771017,-0.012351685,-0.00743215,-0.000561124,0.003289889,-0.001379849,0.003181704,0.003487614,-0.001296361,-0.025761711,-0.046498439,-0.022575848,0.053756431,0.087305614,0.059309151,0.023165348,0.010487204,-0.014923181,-0.024335747,-0.027981432,-0.028315897,-0.033139892,-0.014515718,-0.020332133,-0.017866326,-0.014956695,-0.013499669,-0.003712083,-0.01100235,0.014821707,0.018785879,0.031104919,0.034432288,0.000675806,0.031843302,-0.019441999,-0.024457627,-0.021679281,-0.035263409,-0.028841229,-0.042509203,-0.027073499,-0.017474809,-0.011166027,0.013599454,0.024726797,0.029172578,0.040851219,0.053297023,0.051083982,0.054934768,0.038496323,0.028293501,-0.044967584,-0.005930451,-0.022965046,-0.014735133,0.011653382,-0.023613882,-0.03554501,-0.051138022,-0.056161579,-0.062350616,-0.053671432,-0.038184014,-0.023133879,-0.01222582,-0.00437957,0.015266774,-0.000898879,0.003878728,0.036810147,0.057874213,0.033289113,0.069350609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011667207,-0.006473992,0.023095672,0.034555356,0.03804471,0.047919168,0.040640238,0.022157478,0.028420935,0.014746491,0.008488531,-0.000501813,0.000530781,0.000491822,0.004686317,0.001666749,0.003416939,-0.00448695,0.008489827,-0.011196984,-0.018406493,-0.01164745,-0.006005431,-0.012842995,-0.015347521,-0.026698227,-0.020615426,-0.027434776,-0.000606072,-0.013136151,-0.007133789,-0.004471151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034445834,0.034940836,0.034150727,0.018212206,0.009460862,0.012034859,0.02644322,0.00842065,0.006061688,0.006965569,-0.002134763,-0.0091346,-0.001170659,8.57E-05,-0.006778429,0.003350665,-0.001952515,-0.001773453,-0.003479558,-0.002106641,-0.007221735,0.004172309,-0.01790482,-0.002064611,-0.012973024,-0.012584752,-0.020407147,-0.019163106,-0.017563256,-0.014015024,-0.01648899,0.00917023,-0.02998503,-0.002989225,-0.008772373,-0.010913772,0.018848555,0.031221809,0.029566607,0,0,0,0,0,0,0,0,0
10,108.8963851,0,0,0,0,0,0.022343801,0.003690307,-0.000204906,0.021276108,0.017723261,0.0162562,0.010632021,0.012843999,0.012360935,0.014292907,0.005405226,-0.00554449,-0.020495462,-0.033521485,-0.035970205,-0.044950376,-0.042699665,-0.042268858,-0.026758115,-0.025098639,-0.026036662,-0.012248628,-0.012746951,-0.007846206,-0.002731781,0.00687595,0.014310519,0.002536076,0.00984931,0.016543299,0.00231071,-0.025272165,-0.052167878,-0.037167595,0.050426756,0.105256178,0.069408341,0.009110064,-0.021160842,-0.031601856,-0.041928775,-0.026628648,-0.019612516,-0.016832362,0.007920162,0.004277689,-0.004961846,-0.005174707,0.004601076,0.006852717,-0.001246555,0.011751212,0.021757664,0.036453895,0.047298167,-0.03450504,0.09902998,-0.035210298,-0.031306828,-0.039669017,-0.075662778,-0.066069039,-0.090045814,-0.055548997,-0.047729671,-0.026463587,0.006616709,0.017617874,0.027951346,0.049023677,0.052141366,0.066598653,0.083834012,0.060814072,0.004368252,-0.033200424,0.035358938,-0.001860847,-0.037208601,-0.00455071,-0.054782468,-0.054033748,-0.06416847,-0.066740077,-0.050527084,-0.032574111,-0.027825884,-0.011556047,0.000145316,0.008315513,0.020513371,0.016369138,0.002167477,0.056361737,0.076107924,0.04201731,0.06243842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011179127,-0.010356206,0.037616436,0.036948274,0.044254173,0.043025712,0.047794594,0.024765915,0.022906706,0.009412,0.00413888,-0.002942954,-0.004561463,-0.012523759,-0.009964315,-0.001235408,0.001314291,-0.006461057,0.012008179,-0.014559163,-0.021779233,-0.023521594,-0.02330768,-0.01426594,-0.012205903,-0.017782448,-0.010270825,-0.012400109,-0.010630413,0.001274011,0.003984072,-0.008794739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036265265,0.04376365,0.035071334,-0.001097562,-0.011138337,0.001518414,0.018123061,-0.00268227,-0.005642723,0.006523312,-0.004057952,0.004604771,-0.001054519,0.001896481,0.003821554,0.008540595,0.01622155,0.014524511,0.012233624,0.005586479,-0.00312459,0.008654314,-0.012763257,-0.013419306,-0.020869487,-0.009721405,-0.01757481,-0.000475181,-0.007127505,-0.000569072,0.003470075,-9.70E-05,-0.019701629,0.000994769,0.003848485,0.009465342,0.02245236,0.023356177,0.030525403,0,0,0,0,0,0,0,0,0
