,Perc_C
(Intercept),48.6379063
Wave_366,0
Wave_376,0
Wave_385,0
Wave_395,0
Wave_405,0
Wave_414,0.000282466
Wave_424,0.000238383
Wave_434,0.000256035
Wave_443,0.000470456
Wave_453,0.000277426
Wave_463,0.000265012
Wave_472,-5.35834E-05
Wave_482,0.000175684
Wave_492,0.000319882
Wave_502,0.000487431
Wave_511,0.000334062
Wave_521,0.000172382
Wave_531,-0.000218976
Wave_541,-0.000581167
Wave_550,-0.000821654
Wave_560,-0.001137468
Wave_570,-0.001177918
Wave_580,-0.001014201
Wave_589,-0.000986298
Wave_599,-0.000844147
Wave_609,-0.000723416
Wave_619,-0.000593206
Wave_628,-0.000519686
Wave_638,-0.000450174
Wave_648,-0.000209041
Wave_655,5.04024E-05
Wave_658,0.000177531
Wave_665,-1.31293E-05
Wave_668,0.000242902
Wave_675,0.000328321
Wave_685,0.000125825
Wave_694,-0.000763529
Wave_704,-0.002105143
Wave_714,-0.001905708
Wave_724,0.000873796
Wave_734,0.003149468
Wave_743,0.002403545
Wave_753,0.001558773
Wave_763,0.000148697
Wave_773,-0.000468735
Wave_782,-0.000561442
Wave_792,-0.000457408
Wave_802,-0.000283234
Wave_812,-0.000107521
Wave_821,-0.000281812
Wave_831,-0.000366603
Wave_841,-0.000243934
Wave_850,-0.000421419
Wave_860,-0.000400198
Wave_870,-0.000420122
Wave_880,-0.000138331
Wave_889,7.43684E-05
Wave_899,0.000246256
Wave_909,1.80445E-05
Wave_918,5.39027E-05
Wave_928,0.000433166
Wave_938,-0.001062062
Wave_947,8.37105E-05
Wave_957,-0.000495935
Wave_967,-0.000930239
Wave_976,-0.000894877
Wave_986,-0.000887697
Wave_995,-0.001365363
Wave_1005,-0.001205591
Wave_1015,-0.000973509
Wave_1024,-0.000655674
Wave_1034,-0.000147851
Wave_1044,3.3483E-05
Wave_1053,0.000362042
Wave_1063,0.00095094
Wave_1072,0.001420382
Wave_1082,0.001375799
Wave_1091,0.001509264
Wave_1101,0.001539582
Wave_1111,0.001773906
Wave_1120,-0.000811794
Wave_1130,-0.000757359
Wave_1139,-0.000231098
Wave_1149,-0.001069324
Wave_1158,0.000299304
Wave_1168,-7.10898E-05
Wave_1177,-0.000676996
Wave_1187,-0.001089595
Wave_1196,-0.001034321
Wave_1206,-0.001342875
Wave_1215,-0.001313433
Wave_1225,-0.000815236
Wave_1235,-0.000203226
Wave_1244,0.000397875
Wave_1253,0.000733064
Wave_1254,0.001672296
Wave_1263,0.000753014
Wave_1264,0.001348379
Wave_1273,0.000925083
Wave_1283,0.000729002
Wave_1293,0.000681839
Wave_1303,0.000987844
Wave_1313,0
Wave_1323,0
Wave_1333,0
Wave_1343,0
Wave_1353,0
Wave_1363,0
Wave_1373,0
Wave_1383,0
Wave_1393,0
Wave_1403,0
Wave_1413,0
Wave_1423,0
Wave_1433,0
Wave_1443,0
Wave_1453,0
Wave_1463,0.000156284
Wave_1473,-2.07812E-05
Wave_1483,0.001439764
Wave_1493,0.001738735
Wave_1503,0.001586914
Wave_1513,0.001535032
Wave_1523,0.001512777
Wave_1533,0.001218319
Wave_1542,0.000923727
Wave_1552,0.00090345
Wave_1562,0.000380149
Wave_1572,0.000359996
Wave_1582,0.000164898
Wave_1592,7.08299E-05
Wave_1602,0.000379877
Wave_1612,5.94912E-05
Wave_1622,9.87062E-05
Wave_1632,0.00015327
Wave_1642,-0.000298435
Wave_1652,-0.000761836
Wave_1662,-0.000983324
Wave_1672,-0.000529001
Wave_1682,-0.00047946
Wave_1692,-0.000612758
Wave_1702,-0.000844952
Wave_1712,-0.000984108
Wave_1722,-0.001452692
Wave_1732,-0.001283708
Wave_1742,-0.000183749
Wave_1752,-0.000165289
Wave_1762,-0.000263989
Wave_1772,7.42979E-05
Wave_1782,0
Wave_1792,0
Wave_1802,0
Wave_1811,0
Wave_1821,0
Wave_1831,0
Wave_1841,0
Wave_1851,0
Wave_1861,0
Wave_1868,0
Wave_1871,0
Wave_1873,0
Wave_1878,0
Wave_1888,0
Wave_1898,0
Wave_1908,0
Wave_1918,0
Wave_1928,0
Wave_1938,0
Wave_1948,0
Wave_1958,0
Wave_1968,0
Wave_1978,0
Wave_1988,0
Wave_1998,0
Wave_2008,0
Wave_2018,0
Wave_2028,0.001372721
Wave_2038,0.001147816
Wave_2048,0.001473276
Wave_2058,0.000809208
Wave_2068,0.000857048
Wave_2078,0.000914192
Wave_2088,0.000923811
Wave_2099,0.000463436
Wave_2109,4.93926E-05
Wave_2119,0.000100676
Wave_2129,-4.29412E-05
Wave_2139,-0.000268797
Wave_2149,-0.000283191
Wave_2159,-8.9894E-05
Wave_2169,-0.000361742
Wave_2178,-0.000243408
Wave_2188,-0.000332272
Wave_2198,-0.00021506
Wave_2208,-0.000615707
Wave_2218,-0.000566434
Wave_2228,-0.000609193
Wave_2238,-0.000427532
Wave_2248,-0.000471426
Wave_2258,-5.50752E-05
Wave_2268,-0.000172177
Wave_2278,-0.000276257
Wave_2288,-0.000450392
Wave_2298,0.000125886
Wave_2308,-0.000850654
Wave_2318,-0.000401383
Wave_2328,-0.000306754
Wave_2338,-4.31575E-05
Wave_2348,-0.000251088
Wave_2358,-0.000555536
Wave_2368,-0.000258981
Wave_2378,0.000174251
Wave_2388,-0.000319909
Wave_2398,-0.000132771
Wave_2408,0.00058518
Wave_2418,0
Wave_2428,0
Wave_2437,0
Wave_2447,0
Wave_2457,0
Wave_2467,0
Wave_2477,0
Wave_2487,0
Wave_2497,0
