,LMA
(Intercept),132.901776
Wave_366,0
Wave_376,0
Wave_385,0
Wave_395,0
Wave_405,0
Wave_414,0.019646521
Wave_424,0.002135448
Wave_434,0.005163093
Wave_443,0.013234831
Wave_453,0.012125824
Wave_463,0.012483572
Wave_472,0.010230327
Wave_482,0.013843784
Wave_492,0.008314723
Wave_502,0.010609514
Wave_511,0.00646547
Wave_521,-0.00067643
Wave_531,-0.010282465
Wave_541,-0.018192814
Wave_550,-0.022257328
Wave_560,-0.035038603
Wave_570,-0.033223989
Wave_580,-0.033649823
Wave_589,-0.025726442
Wave_599,-0.024859524
Wave_609,-0.024578043
Wave_619,-0.016832851
Wave_628,-0.016506474
Wave_638,-0.012526634
Wave_648,-0.011218473
Wave_655,0.001664686
Wave_658,0.003450125
Wave_665,-0.006213798
Wave_668,0.001848917
Wave_675,0.00602727
Wave_685,-0.00086204
Wave_694,-0.02504984
Wave_704,-0.048841151
Wave_714,-0.02733999
Wave_724,0.05208459
Wave_734,0.091375538
Wave_743,0.064119661
Wave_753,0.02432132
Wave_763,0.00259401
Wave_773,-0.019768765
Wave_782,-0.029921711
Wave_792,-0.021362754
Wave_802,-0.016668389
Wave_812,-0.01535529
Wave_821,0.000366053
Wave_831,-0.001121397
Wave_841,-0.009821288
Wave_850,-0.011736734
Wave_860,-0.009701574
Wave_870,-0.005965545
Wave_880,-0.011359617
Wave_889,-0.006311166
Wave_899,0.006075107
Wave_909,0.009700738
Wave_918,0.02059074
Wave_928,-0.031194019
Wave_938,0.047837097
Wave_947,-0.011048057
Wave_957,-0.012757232
Wave_967,-0.022986572
Wave_976,-0.049557196
Wave_986,-0.040834357
Wave_995,-0.057616585
Wave_1005,-0.039911012
Wave_1015,-0.029886498
Wave_1024,-0.014003127
Wave_1034,0.002713095
Wave_1044,0.014547022
Wave_1053,0.029008483
Wave_1063,0.039851797
Wave_1072,0.045599097
Wave_1082,0.052488884
Wave_1091,0.060977226
Wave_1101,0.04742807
Wave_1111,0.040480019
Wave_1120,-0.019459247
Wave_1130,0.01498779
Wave_1139,-0.008505238
Wave_1149,-0.024223681
Wave_1158,0.004143205
Wave_1168,-0.032142703
Wave_1177,-0.046612523
Wave_1187,-0.05897878
Wave_1196,-0.068445873
Wave_1206,-0.054966188
Wave_1215,-0.039565193
Wave_1225,-0.031530133
Wave_1235,-0.011076673
Wave_1244,0.003695811
Wave_1253,0.013832589
Wave_1254,0.02782824
Wave_1263,0.015629355
Wave_1264,0.008603997
Wave_1273,0.044820606
Wave_1283,0.047490633
Wave_1293,0.03608295
Wave_1303,0.049405108
Wave_1313,0
Wave_1323,0
Wave_1333,0
Wave_1343,0
Wave_1353,0
Wave_1363,0
Wave_1373,0
Wave_1383,0
Wave_1393,0
Wave_1403,0
Wave_1413,0
Wave_1423,0
Wave_1433,0
Wave_1443,0
Wave_1453,0
Wave_1463,0.011781836
Wave_1473,0.002840739
Wave_1483,0.048851221
Wave_1493,0.037583912
Wave_1503,0.04228039
Wave_1513,0.04212808
Wave_1523,0.03955398
Wave_1533,0.027577519
Wave_1542,0.028182021
Wave_1552,0.018794118
Wave_1562,0.008847852
Wave_1572,0.005677451
Wave_1582,-0.001905706
Wave_1592,0.000146776
Wave_1602,0.000232265
Wave_1612,0.004960531
Wave_1622,0.001872927
Wave_1632,-0.006687805
Wave_1642,0.002329111
Wave_1652,-0.009712416
Wave_1662,-0.020617405
Wave_1672,-0.017580144
Wave_1682,-0.015483917
Wave_1692,-0.014074529
Wave_1702,-0.014205427
Wave_1712,-0.022410099
Wave_1722,-0.0178152
Wave_1732,-0.016649455
Wave_1742,-0.018650991
Wave_1752,-0.00483743
Wave_1762,-0.006347487
Wave_1772,0.008247947
Wave_1782,0
Wave_1792,0
Wave_1802,0
Wave_1811,0
Wave_1821,0
Wave_1831,0
Wave_1841,0
Wave_1851,0
Wave_1861,0
Wave_1868,0
Wave_1871,0
Wave_1873,0
Wave_1878,0
Wave_1888,0
Wave_1898,0
Wave_1908,0
Wave_1918,0
Wave_1928,0
Wave_1938,0
Wave_1948,0
Wave_1958,0
Wave_1968,0
Wave_1978,0
Wave_1988,0
Wave_1998,0
Wave_2008,0
Wave_2018,0
Wave_2028,0.030324679
Wave_2038,0.0307654
Wave_2048,0.030978097
Wave_2058,0.008899273
Wave_2068,0.002308303
Wave_2078,0.008850382
Wave_2088,0.01220133
Wave_2099,-0.001509047
Wave_2109,-0.00170124
Wave_2119,-0.003815343
Wave_2129,-0.008789101
Wave_2139,-0.00567606
Wave_2149,-0.004398082
Wave_2159,-0.001133662
Wave_2169,-0.004967049
Wave_2178,-0.000242956
Wave_2188,0.000359838
Wave_2198,0.002658287
Wave_2208,-0.001996027
Wave_2218,-0.007822878
Wave_2228,-0.010112047
Wave_2238,-3.77897E-05
Wave_2248,-0.012830097
Wave_2258,-0.011451372
Wave_2268,-0.02231138
Wave_2278,-0.008697714
Wave_2288,-0.012732205
Wave_2298,0.001186614
Wave_2308,-0.01078136
Wave_2318,0.000443871
Wave_2328,-0.007689302
Wave_2338,0.007768303
Wave_2348,-0.018144892
Wave_2358,-0.003970756
Wave_2368,-0.001896882
Wave_2378,0.001492805
Wave_2388,0.012687633
Wave_2398,0.020030888
Wave_2408,0.019035596
Wave_2418,0
Wave_2428,0
Wave_2437,0
Wave_2447,0
Wave_2457,0
Wave_2467,0
Wave_2477,0
Wave_2487,0
Wave_2497,0
