,Perc_N
(Intercept),1.383991714
Wave_366,0
Wave_376,0
Wave_385,0
Wave_395,0
Wave_405,0
Wave_414,-0.00042799
Wave_424,-0.000225724
Wave_434,-0.000229654
Wave_443,-0.000179795
Wave_453,-0.00013761
Wave_463,-8.08E-05
Wave_472,-4.09E-05
Wave_482,1.80E-05
Wave_492,6.23E-05
Wave_502,6.88E-05
Wave_511,5.99E-05
Wave_521,3.37E-05
Wave_531,5.04E-05
Wave_541,6.35E-05
Wave_550,2.01E-05
Wave_560,3.36E-05
Wave_570,3.76E-05
Wave_580,0.000111698
Wave_589,0.00012123
Wave_599,0.00014533
Wave_609,0.000202273
Wave_619,0.000231326
Wave_628,0.000250339
Wave_638,0.000291523
Wave_648,0.000371107
Wave_655,0.000378557
Wave_658,0.000410953
Wave_665,0.000379214
Wave_668,0.000397688
Wave_675,0.000430127
Wave_685,0.000449371
Wave_694,0.000155271
Wave_704,-0.000397734
Wave_714,-0.000714102
Wave_724,-0.000764205
Wave_734,-0.000409143
Wave_743,2.62E-05
Wave_753,5.11E-05
Wave_763,7.15E-05
Wave_773,0.000118291
Wave_782,0.000124575
Wave_792,9.09E-05
Wave_802,8.18E-05
Wave_812,7.47E-05
Wave_821,8.42E-05
Wave_831,2.73E-05
Wave_841,-1.08E-05
Wave_850,-4.76E-05
Wave_860,-4.31E-05
Wave_870,-5.27E-05
Wave_880,-7.71E-05
Wave_889,-0.00015528
Wave_899,-0.000150068
Wave_909,-0.000177144
Wave_918,-0.000194945
Wave_928,-3.01E-05
Wave_938,3.57E-05
Wave_947,1.38E-05
Wave_957,5.81E-05
Wave_967,0.000233596
Wave_976,0.000264581
Wave_986,0.000267715
Wave_995,0.000322553
Wave_1005,0.000287172
Wave_1015,0.000220742
Wave_1024,0.000131663
Wave_1034,5.72E-05
Wave_1044,5.74E-05
Wave_1053,-6.16E-05
Wave_1063,-0.000159369
Wave_1072,-0.000182602
Wave_1082,-0.000184704
Wave_1091,-0.000182592
Wave_1101,-0.000175909
Wave_1111,-0.000173474
Wave_1120,0.000219454
Wave_1130,4.80E-05
Wave_1139,0.000115444
Wave_1149,9.73E-05
Wave_1158,-5.73E-05
Wave_1168,9.54E-05
Wave_1177,0.000243266
Wave_1187,0.000255698
Wave_1196,0.000290007
Wave_1206,0.000195824
Wave_1215,5.80E-05
Wave_1225,3.20E-05
Wave_1235,-5.23E-05
Wave_1244,-9.56E-05
Wave_1253,-0.000134644
Wave_1254,-0.000296286
Wave_1263,-0.000159145
Wave_1264,-0.000271171
Wave_1273,-0.000420816
Wave_1283,-0.000194362
Wave_1293,-0.000112807
Wave_1303,-0.000234658
Wave_1313,0
Wave_1323,0
Wave_1333,0
Wave_1343,0
Wave_1353,0
Wave_1363,0
Wave_1373,0
Wave_1383,0
Wave_1393,0
Wave_1403,0
Wave_1413,0
Wave_1423,0
Wave_1433,0
Wave_1443,0
Wave_1453,0
Wave_1463,-0.000109022
Wave_1473,-0.000105606
Wave_1483,-0.000552771
Wave_1493,-0.000708311
Wave_1503,-0.000784619
Wave_1513,-0.000746006
Wave_1523,-0.00066558
Wave_1533,-0.000560608
Wave_1542,-0.000529268
Wave_1552,-0.000419338
Wave_1562,-0.000309905
Wave_1572,-0.000184017
Wave_1582,-0.00013026
Wave_1592,-4.35E-05
Wave_1602,4.75E-05
Wave_1612,3.92E-05
Wave_1622,0.000166772
Wave_1632,0.000255769
Wave_1642,0.000390551
Wave_1652,0.000474021
Wave_1662,0.00057573
Wave_1672,0.000440179
Wave_1682,0.000365814
Wave_1692,0.000354945
Wave_1702,0.000348925
Wave_1712,0.000377095
Wave_1722,0.000210106
Wave_1732,0.000122412
Wave_1742,0.000177322
Wave_1752,0.000189756
Wave_1762,0.000188789
Wave_1772,0.000202657
Wave_1782,0
Wave_1792,0
Wave_1802,0
Wave_1811,0
Wave_1821,0
Wave_1831,0
Wave_1841,0
Wave_1851,0
Wave_1861,0
Wave_1868,0
Wave_1871,0
Wave_1873,0
Wave_1878,0
Wave_1888,0
Wave_1898,0
Wave_1908,0
Wave_1918,0
Wave_1928,0
Wave_1938,0
Wave_1948,0
Wave_1958,0
Wave_1968,0
Wave_1978,0
Wave_1988,0
Wave_1998,0
Wave_2008,0
Wave_2018,0
Wave_2028,-0.000310101
Wave_2038,-0.00035685
Wave_2048,-0.000316171
Wave_2058,-0.000118605
Wave_2068,-9.92E-05
Wave_2078,-0.000169695
Wave_2088,-0.000181394
Wave_2099,-2.68E-05
Wave_2109,2.16E-05
Wave_2119,2.78E-05
Wave_2129,0.000188839
Wave_2139,0.000180588
Wave_2149,0.000204276
Wave_2159,0.000190311
Wave_2169,0.000270947
Wave_2178,0.000212671
Wave_2188,0.000233602
Wave_2198,0.000246663
Wave_2208,0.000242157
Wave_2218,0.000246696
Wave_2228,0.000210759
Wave_2238,0.000135708
Wave_2248,0.000197843
Wave_2258,3.44E-05
Wave_2268,0.000132853
Wave_2278,8.09E-05
Wave_2288,4.87E-05
Wave_2298,-5.77E-05
Wave_2308,-1.62E-05
Wave_2318,-9.24E-05
Wave_2328,1.59E-05
Wave_2338,-0.0001177
Wave_2348,-0.000115291
Wave_2358,-0.000182758
Wave_2368,-0.000188955
Wave_2378,-6.61E-05
Wave_2388,-0.00026198
Wave_2398,-0.000286603
Wave_2408,-0.000350661
Wave_2418,0
Wave_2428,0
Wave_2437,0
Wave_2447,0
Wave_2457,0
Wave_2467,0
Wave_2477,0
Wave_2487,0
Wave_2497,0
