,Perc_N
Wave_374,-1.55E-05
Wave_385,-2.57E-05
Wave_395,0
Wave_404,-6.58E-06
Wave_414,2.66E-05
Wave_423,-1.55E-05
Wave_433,-1.29E-05
Wave_442,-1.20E-05
Wave_452,-1.60E-05
Wave_461,-1.60E-05
Wave_471,-1.49E-05
Wave_481,-1.75E-05
Wave_490,-1.64E-05
Wave_500,-1.63E-05
Wave_510,-1.82E-05
Wave_519,-2.42E-05
Wave_529,-2.78E-05
Wave_539,-3.25E-05
Wave_548,-3.34E-05
Wave_558,-3.43E-05
Wave_568,-3.49E-05
Wave_577,-3.34E-05
Wave_587,-2.99E-05
Wave_597,-2.73E-05
Wave_607,-2.80E-05
Wave_616,-2.77E-05
Wave_626,-2.67E-05
Wave_636,-2.75E-05
Wave_645,-2.38E-05
Wave_655,-2.52E-05
Wave_665,-2.39E-05
Wave_676,0
Wave_656,0
Wave_664,0
Wave_674,-2.22E-05
Wave_683,-2.27E-05
Wave_693,-2.96E-05
Wave_702,-4.31E-05
Wave_712,-5.53E-05
Wave_721,-5.98E-05
Wave_731,-5.49E-05
Wave_740,-3.60E-05
Wave_750,-1.37E-05
Wave_760,1.83E-06
Wave_769,8.85E-06
Wave_779,1.02E-05
Wave_788,1.11E-05
Wave_798,1.35E-05
Wave_807,1.80E-05
Wave_817,1.98E-05
Wave_827,1.73E-05
Wave_836,1.29E-05
Wave_846,1.20E-05
Wave_855,1.15E-05
Wave_865,1.19E-05
Wave_875,1.32E-05
Wave_884,1.67E-05
Wave_894,1.88E-05
Wave_904,2.32E-05
Wave_913,2.34E-05
Wave_923,2.53E-05
Wave_931,2.16E-05
Wave_946,2.32E-05
Wave_956,1.70E-05
Wave_965,1.49E-05
Wave_975,1.07E-05
Wave_984,1.49E-05
Wave_994,1.12E-05
Wave_1003,1.17E-05
Wave_1013,1.04E-05
Wave_1022,9.06E-06
Wave_1032,7.87E-06
Wave_1041,6.99E-06
Wave_1050,5.70E-06
Wave_1060,6.03E-06
Wave_1069,8.64E-06
Wave_1079,1.43E-05
Wave_1088,1.37E-05
Wave_1098,1.73E-05
Wave_1107,2.06E-05
Wave_1117,1.96E-05
Wave_1126,2.52E-05
Wave_1136,1.37E-05
Wave_1145,3.14E-06
Wave_1154,3.33E-06
Wave_1164,1.83E-06
Wave_1173,9.98E-06
Wave_1183,1.41E-05
Wave_1192,1.61E-05
Wave_1202,1.28E-05
Wave_1211,9.98E-06
Wave_1221,5.11E-06
Wave_1230,6.19E-07
Wave_1239,7.27E-07
Wave_1249,1.24E-07
Wave_1258,-2.86E-07
Wave_1254,0
Wave_1264,8.67E-07
Wave_1274,-2.64E-06
Wave_1284,-2.82E-06
Wave_1294,-5.60E-06
Wave_1304,-2.78E-06
Wave_1314,1.52E-08
Wave_1324,1.45E-06
Wave_1334,-2.54E-06
Wave_1344,-1.25E-05
Wave_1354,0
Wave_1364,0
Wave_1373,0
Wave_1383,0
Wave_1393,0
Wave_1403,0
Wave_1413,0
Wave_1423,0
Wave_1433,0
Wave_1443,-6.22E-06
Wave_1453,-2.06E-05
Wave_1463,-1.52E-05
Wave_1473,-6.60E-06
Wave_1483,-1.33E-05
Wave_1493,-1.71E-05
Wave_1503,-1.18E-05
Wave_1513,-7.08E-06
Wave_1523,-6.28E-06
Wave_1533,-5.13E-06
Wave_1543,-3.84E-06
Wave_1553,-2.76E-06
Wave_1563,-1.04E-06
Wave_1573,-1.66E-07
Wave_1583,9.02E-07
Wave_1593,9.28E-07
Wave_1603,1.47E-06
Wave_1613,6.39E-07
Wave_1623,1.41E-06
Wave_1633,1.62E-06
Wave_1643,1.93E-06
Wave_1653,2.89E-06
Wave_1663,5.65E-06
Wave_1673,6.84E-06
Wave_1682,6.53E-06
Wave_1692,8.36E-06
Wave_1702,1.02E-05
Wave_1712,1.13E-05
Wave_1722,1.13E-05
Wave_1732,9.11E-06
Wave_1742,9.09E-06
Wave_1752,1.05E-05
Wave_1762,9.30E-06
Wave_1772,1.20E-05
Wave_1782,1.53E-05
Wave_1792,1.33E-05
Wave_1802,0
Wave_1812,0
Wave_1822,0
Wave_1832,0
Wave_1842,0
Wave_1852,0
Wave_1862,0
Wave_1872,0
Wave_1882,0
Wave_1880,0
Wave_1890,0
Wave_1900,0
Wave_1910,0
Wave_1920,0
Wave_1930,0
Wave_1940,0
Wave_1950,0
Wave_1960,0
Wave_1970,0
Wave_1980,0
Wave_1990,-1.39E-05
Wave_2000,0
Wave_2011,-1.20E-05
Wave_2021,-2.10E-05
Wave_2031,-1.88E-05
Wave_2041,-1.24E-05
Wave_2051,-9.61E-06
Wave_2061,-7.80E-06
Wave_2071,-5.54E-06
Wave_2081,-3.59E-06
Wave_2091,-6.84E-07
Wave_2101,1.38E-06
Wave_2111,2.87E-06
Wave_2121,3.57E-06
Wave_2131,6.32E-06
Wave_2141,5.77E-06
Wave_2151,6.09E-06
Wave_2161,5.26E-06
Wave_2171,5.20E-06
Wave_2181,5.84E-06
Wave_2191,2.66E-06
Wave_2201,4.06E-06
Wave_2211,5.50E-06
Wave_2220,6.19E-06
Wave_2230,8.03E-06
Wave_2240,6.44E-06
Wave_2250,9.23E-06
Wave_2260,9.87E-06
Wave_2270,1.07E-05
Wave_2280,1.01E-05
Wave_2290,9.60E-06
Wave_2300,8.53E-06
Wave_2310,7.16E-06
Wave_2320,4.55E-06
Wave_2330,5.92E-06
Wave_2340,4.15E-06
Wave_2350,5.64E-06
Wave_2360,1.51E-06
Wave_2370,4.72E-06
Wave_2380,2.31E-06
Wave_2390,1.17E-06
Wave_2399,-9.49E-07
Wave_2409,-1.55E-08
Wave_2419,3.64E-06
Wave_2429,8.29E-07
Wave_2439,-1.67E-06
Wave_2449,2.07E-06
Wave_2459,-1.64E-06
Wave_2469,-4.84E-06
Wave_2479,-7.88E-06
Wave_2489,1.13E-05
Wave_2499,-7.53E-06
Wave_2500,-1.46E-05
