,Preffered_Vcmax.12.comps
(Intercept),31.76001744
Wave_502,915.4594363
Wave_511,815.2204755
Wave_521,681.3621319
Wave_531,538.1361751
Wave_541,324.0765957
Wave_550,7.492062747
Wave_560,-273.7342931
Wave_570,-336.587069
Wave_580,-218.0428831
Wave_589,19.54048247
Wave_599,204.0842496
Wave_609,122.6094655
Wave_619,-59.17367704
Wave_628,-60.46584957
Wave_638,203.0859558
Wave_648,452.3439554
Wave_658,386.2407076
Wave_668,129.4667146
Wave_675,-225.9575276
Wave_685,-1069.119906
Wave_695,-2170.637617
Wave_705,-2135.38625
Wave_715,-295.9139037
Wave_724,1505.826799
Wave_734,1625.989679
Wave_744,640.4202845
Wave_754,-222.6474579
Wave_763,-539.8979067
Wave_773,-496.9382437
Wave_783,-363.0508153
Wave_793,-254.7366718
Wave_802,-181.5984187
Wave_812,-140.0398783
Wave_822,-138.284751
Wave_832,-180.1995677
Wave_841,-253.6617838
Wave_851,-336.7904951
Wave_861,-404.3263865
Wave_870,-432.0188986
Wave_880,-409.4404032
Wave_890,-366.283819
Wave_899,-330.4680165
Wave_909,-303.2137698
Wave_919,-271.1190686
Wave_928,-216.5671937
Wave_938,-133.7286947
Wave_948,0.453850057
Wave_957,206.1263029
Wave_967,427.5470904
Wave_977,596.8989174
Wave_986,708.24595
Wave_996,811.8420485
Wave_1006,870.0566331
Wave_1015,816.7464642
Wave_1025,678.6074941
Wave_1034,511.1903364
Wave_1044,389.3347116
Wave_1054,329.44143
Wave_1063,307.7803677
Wave_1073,316.1808705
Wave_1082,309.7083958
Wave_1092,260.2955687
Wave_1102,165.8363175
Wave_1111,5.150490108
Wave_1121,-182.3025821
Wave_1130,-298.489123
Wave_1140,-273.3093023
Wave_1149,-138.8611033
Wave_1159,-13.62295403
Wave_1168,17.4885247
Wave_1178,-21.5465774
Wave_1187,-52.01818683
Wave_1197,-36.90320132
Wave_1206,-10.69201486
Wave_1216,-33.10531999
Wave_1226,-126.1275929
Wave_1235,-266.7604444
Wave_1244,-421.6586478
Wave_1254,-565.1750728
Wave_1263,-680.2421957
Wave_1273,-737.6013757
Wave_1283,-703.8817096
Wave_1293,-563.672408
Wave_1303,-353.9408668
Wave_1313,-144.5976843
Wave_1323,3.262844196
Wave_1333,76.62091331
Wave_1343,92.42755212
Wave_1423,-1435.828055
Wave_1433,-1066.478016
Wave_1443,-771.5310808
Wave_1453,-564.0042311
Wave_1463,-393.5074432
Wave_1473,-217.8258976
Wave_1483,-46.64536467
Wave_1493,101.3204836
Wave_1503,231.2761624
Wave_1513,350.2967191
Wave_1523,446.4902937
Wave_1533,502.8569712
Wave_1542,515.4660096
Wave_1552,488.8933744
Wave_1562,429.5397101
Wave_1572,363.0465714
Wave_1582,331.6157285
Wave_1592,347.8588581
Wave_1602,385.7539037
Wave_1612,418.0789485
Wave_1622,448.7509528
Wave_1632,499.0510664
Wave_1642,548.3685648
Wave_1652,515.2706913
Wave_1662,303.9687135
Wave_1672,-83.45088717
Wave_1682,-476.8415737
Wave_1692,-645.7299161
Wave_1702,-508.0557225
Wave_1712,-241.8685908
Wave_1722,-129.0196298
Wave_1732,-218.9527283
Wave_1742,-302.0203124
Wave_1752,-228.9373421
Wave_1762,-48.73265775
Wave_1772,134.5896995
Wave_1782,282.036759
Wave_1792,420.1844204
Wave_1802,598.5678835
Wave_1811,801.3838361
Wave_1957,1455.480816
Wave_1967,1168.443508
Wave_1977,872.9683246
Wave_1987,615.336991
Wave_1997,397.6680808
Wave_2008,220.8644969
Wave_2018,102.8378014
Wave_2028,4.810029909
Wave_2038,-110.2580841
Wave_2048,-196.7185946
Wave_2058,-188.1490234
Wave_2068,-92.98646432
Wave_2078,25.77062527
Wave_2088,133.6164711
Wave_2098,237.1611765
Wave_2108,335.3857321
Wave_2118,418.2004093
Wave_2128,456.7990615
Wave_2138,380.2297437
Wave_2148,160.1606936
Wave_2158,-153.499693
Wave_2168,-433.9945981
Wave_2178,-530.0030158
Wave_2188,-406.6669522
Wave_2198,-149.182542
Wave_2208,119.024451
Wave_2218,329.2751081
Wave_2228,477.7223314
Wave_2238,508.7834209
Wave_2248,297.6710747
Wave_2258,-172.7890853
Wave_2268,-736.4466784
Wave_2278,-1139.362926
Wave_2287,-1222.472982
Wave_2297,-1043.117491
Wave_2307,-791.8448507
Wave_2317,-555.4088497
Wave_2327,-338.9828012
Wave_2337,-150.6849139
Wave_2347,24.87544657
Wave_2357,126.3697163
Wave_2367,111.4986725
Wave_2377,76.20707885
Wave_2387,95.19383196
Wave_2397,81.9921186
